Response
dirty plate
dirty cup (obj6)
dirty fork
dirty mug
dirty cup
dirty fork
dirty fork (obj4)
dirty plate
dirty spoon
clean mug
dirty fork
dirty spoon (obj3)
clean plate
dirty fork
dirty cup (obj2)
dirty mug
dirty plate
dirty plate
dirty plate
dirty plate
dirty bowl
dirty spoon
dirty mug
clean bowl
dirty spoon
dirty fork
dirty plate
clean spoon (obj4)
clean spoon
clean mug
dirty cup
dirty cup (obj3)
dirty bowl
dirty plate
dirty fork
dirty bowl
dirty bowl
dirty cup (obj5)
dirty cup
dirty fork
dirty bowl
dirty cup
dirty spoon
dirty mug
dirty spoon
dirty bowl (obj1)
dirty plate
dirty fork (obj6)
dirty fork
cup
dirty cup
dirty cup
dirty fork
dirty spoon
dirty fork
dirty spoon
dirty spoon
dirty mug
dirty cup
dirty mug
dirty plate
dirty cup
dirty bowl
dirty bowl
dirty mug (obj3)
dirty fork
dirty bowl (obj1)
clean spoon
dirty cup
dirty mug
dirty cup
dirty spoon
mug (obj4)
dirty spoon
dirty mug (obj3)
dirty bowl
dirty mug
clean mug (obj1)
dirty mug
dirty mug (obj7)
dirty cup (obj5)
clean bowl
dirty mug
dirty mug
dirty plate
dirty bowl
dirty fork
dirty fork
dirty mug
dirty bowl
dirty mug (obj5)
dirty mug
dirty fork
dirty cup
dirty spoon
dirty mug
dirty bowl
dirty spoon
dirty mug
dirty plate
clean bowl
dirty fork
dirty bowl
dirty plate
dirty mug (obj3)
dirty fork
dirty cup (obj3)
dirty spoon
dirty mug
dirty plate
clean cup
dirty mug
dirty fork
dirty mug
dirty fork
dirty plate
dirty mug
dirty spoon
dirty plate
dirty fork
clean bowl
dirty fork (obj2)
dirty spoon
dirty fork
clean plate (obj4)
dirty bowl
dirty bowl
dirty fork
dirty fork
dirty plate
clean bowl
dirty plate
dirty bowl
dirty plate
dirty plate
dirty spoon
dirty cup
clean cup
dirty fork
dirty mug (obj5)
dirty plate
clean bowl
clean bowl
dirty bowl
dirty plate
dirty plate
clean plate or dirty plate (depending on the context)
dirty mug
dirty plate
