Response
dirty plate
dirty cup
fork
dirty mug
clean cup
dirty fork
fork
dirty plate
dirty spoon
dirty mug
dirty fork
dirty spoon
dirty plate
fork
dirty cup
dirty mug
dirty plate
dirty plate
dirty plate
dirty plate
dirty bowl
clean spoon
dirty mug
clean bowl
dirty spoon
dirty fork
dirty plate
dirty spoon
dirty spoon
clean mug
dirty cup
dirty cup
dirty bowl
clean plate
dirty fork
clean bowl
clean bowl
dirty cup
clean cup
dirty fork
dirty bowl
dirty cup
dirty spoon
dirty mug
dirty spoon
dirty bowl
dirty plate
dirty fork
dirty fork
dirty cup
dirty cup
dirty cup
dirty fork
dirty spoon
dirty fork
dirty spoon
dirty spoon
mug
dirty cup
mug
dirty plate
dirty cup
clean bowl
dirty bowl
dirty mug
fork
dirty bowl
dirty spoon
dirty cup
dirty mug
dirty cup
dirty spoon
mug
dirty spoon
dirty mug
dirty bowl
dirty mug
dirty mug
dirty mug
dirty mug
dirty cup
dirty bowl
dirty cup
dirty mug
dirty plate
dirty bowl
dirty fork
dirty fork
dirty mug
dirty bowl
dirty mug
dirty mug
fork
dirty cup
dirty spoon
dirty mug
bowl
dirty spoon
dirty mug
plate
dirty bowl
dirty fork
dirty bowl
dirty plate
dirty mug
clean fork
dirty cup
dirty spoon
dirty mug
dirty plate
clean cup
dirty mug
dirty fork
dirty mug
dirty fork
dirty plate
dirty mug
dirty spoon
dirty plate
dirty mug
clean bowl
dirty fork
dirty spoon
fork
dirty plate
dirty bowl
dirty bowl
dirty fork
fork
dirty plate
dirty bowl
clean plate
dirty bowl
dirty plate
dirty plate
dirty spoon
dirty cup
clean cup
dirty fork
dirty mug
dirty plate
dirty bowl
dirty bowl
dirty bowl
dirty plate
plate
dirty plate
dirty mug
dirty plate
dirty mug
dirty plate
dirty spoon
dirty bowl
dirty fork
dirty plate
dirty mug
clean spoon
dirty bowl
dirty spoon
dirty spoon
dirty fork
dirty bowl
dirty plate
dirty fork
dirty spoon
dirty bowl
dirty mug
dirty bowl
dirty spoon
clean mug
dirty spoon
dirty bowl
fork
dirty mug
dirty mug
dirty fork
dirty mug
