Response
the dirty plate
clean cup
dirty fork
dirty mug
clean cup
clean fork
clean fork
dirty plate
clean spoon
clean mug
clean fork
clean spoon
clean plate
dirty fork
dirty cup
clean mug
dirty plate
clean plate
decorative plate
clean plate
clean bowl
clean spoon
clean mug
clean bowl
clean spoon
dirty fork
clean plate
clean spoon
clean spoon
clean mug
clean cup
clean cup
clean bowl
clean plate
clean fork
clean bowl
clean bowl
clean cup
clean cup
clean fork
clean bowl
clean cup
clean spoon
clean mug
clean spoon
clean bowl
clean plate
clean fork
dirty fork
clean cup
dirty cup
clean cup
clean fork
clean spoon
dirty fork
clean spoon
clean spoon
clean mug
clean cup
clean mug
dirty plate
dirty cup
old bowl
clean bowl
clean mug
clean fork
dirty bowl
clean spoon
clean cup
clean mug
clean cup
clean spoon
clean mug
clean spoon
clean mug
clean bowl
clean mug
dirty mug
clean mug
clean mug
dirty cup
dirty bowl
clean cup
clean mug
clean plate
dirty bowl
clean fork
clean fork
clean mug
clean bowl
clean mug
clean mug
clean fork
clean cup
clean spoon
clean mug
clean bowl
clean spoon
clean mug
clean plate
clean bowl
clean fork
clean bowl
dirty plate
clean mug
clean fork
clean cup
clean spoon
clean mug
dirty plate
clean cup
clean mug
clean fork
clean mug
clean fork
dirty plate
clean mug
clean spoon
dirty plate
clean mug
clean bowl
clean fork
clean spoon
dirty fork
clean plate
dirty bowl
dirty bowl
clean fork
clean fork
dirty plate
clean bowl
dirty plate
clean bowl
clean plate
clean plate
clean spoon
clean cup
clean cup
clean fork
clean mug
dirty plate
clean bowl
clean bowl
clean bowl
clean plate
clean plate
clean plate
clean mug
decorative plate
clean mug
clean plate
clean spoon
clean bowl
clean fork
clean plate
clean mug
clean spoon
dirty bowl
clean spoon
decorative spoon
dirty fork
dirty bowl
clean plate
clean fork
clean spoon
clean bowl
clean mug
clean bowl
clean spoon
clean mug
clean spoon
clean bowl
clean fork
clean mug
clean mug
clean fork
dirty mug
clean mug
clean spoon
clean mug
clean plate
clean fork
clean cup
clean bowl
clean spoon
clean plate
clean bowl
clean plate
clean plate
clean plate
clean cup
dirty fork
decorative mug
dirty cup
clean mug
clean plate
clean fork
clean mug
clean mug
dirty bowl
clean bowl
clean plate
clean bowl
clean mug
clean cup
clean spoon
clean fork
clean spoon
clean cup
clean spoon
clean plate
clean bowl
clean plate
clean fork
clean cup
dirty fork
clean spoon
clean spoon
clean spoon
clean plate
clean plate
clean plate
clean mug
clean spoon
dirty bowl
clean cup
clean mug
clean mug
clean cup
clean spoon
clean fork
clean bowl
clean spoon
clean fork
clean spoon
clean mug
clean spoon
clean spoon
clean plate
clean spoon
clean plate
clean bowl
clean plate
clean mug
clean plate
clean cup
clean mug
clean spoon
clean spoon
dirty mug
clean fork
clean spoon
clean spoon
clean spoon
dirty spoon
dirty bowl
clean bowl
dirty spoon
clean cup
clean plate
clean plate
clean mug
clean fork
clean fork
clean mug
clean fork
dirty cup
clean cup
clean spoon
clean fork
dirty bowl
clean cup
clean mug
clean bowl
dirty plate
clean mug
clean mug
clean mug
clean plate
clean bowl
clean plate
clean bowl
clean spoon
clean spoon
clean cup
clean cup
clean cup
dirty mug
dirty plate
dirty mug
clean plate
clean spoon
clean cup
clean bowl
dirty plate
clean cup
dirty plate
clean spoon
clean plate
clean bowl
decorative mug
dirty bowl
clean bowl
clean mug
clean plate
dirty fork
clean plate
clean cup
dirty fork
dirty fork
clean cup
clean mug
clean spoon
clean fork
clean plate
clean plate
dirty fork
clean mug
clean mug
clean mug
clean mug
dirty mug
clean bowl
clean spoon
clean bowl
clean bowl
dirty bowl
clean fork
dirty cup
dirty cup
clean bowl
clean plate
clean plate
clean plate
clean plate
dirty bowl
old cup
clean bowl
clean mug
clean cup
clean bowl
clean fork
clean mug
clean cup
clean fork
clean fork
clean spoon
clean cup
clean bowl
dirty bowl
clean plate
clean mug
dirty mug
clean cup
clean spoon
dirty plate
dirty bowl
clean plate
clean plate
clean plate
dirty plate
clean mug
dirty bowl
clean fork
clean fork
clean cup
dirty fork
clean mug
clean bowl
clean mug
dirty bowl
clean plate
clean cup
clean fork
clean fork
clean fork
clean mug
clean plate
clean cup
clean cup
clean fork
clean cup
dirty bowl
clean fork
clean bowl
clean plate
clean bowl
clean spoon
clean spoon
clean fork
clean plate
clean bowl
clean mug
clean fork
clean mug
clean plate
dirty mug
clean bowl
clean fork
clean mug
clean cup
clean fork
clean plate
clean bowl
dirty plate
dirty bowl
clean fork
clean fork
clean spoon
dirty bowl
clean spoon
clean plate
clean plate
clean bowl
clean cup
clean bowl
clean fork
clean mug
dirty cup
clean bowl
clean plate
clean spoon
clean spoon
clean bowl
dirty plate
clean fork
clean mug
clean cup
clean bowl
clean plate
dirty spoon
dirty bowl
clean mug
clean fork
clean fork
clean plate
clean bowl
clean fork
