prompt,name_pair,location,prolog,referring_expression,target_object,referent_natural
"Cameron and Charlie are in the living room. Cameron is tidying. Charlie is next to a dirty plate on the floor, a shoe on the floor, a laptop on the floor, a pen on the table, a notebook on the table. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,living room,"setting(living_room).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
location(obj1, floor).
object(obj2).
property(obj2, shoe).
location(obj2, floor).
object(obj3).
property(obj3, laptop).
location(obj3, floor).
object(obj4).
property(obj4, pen).
location(obj4, table).
object(obj5).
property(obj5, notebook).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,laptop
"Cameron and Charlie are in the living room. Cameron is tidying. Charlie is next to a dirty cup on the floor, a lamp on the table, a spatula on the table, a shard of glass on the floor, a pen on the table. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,living room,"setting(living_room).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, cup).
location(obj1, floor).
object(obj2).
property(obj2, lamp).
location(obj2, table).
object(obj3).
property(obj3, spatulon).
location(obj3, table).
object(obj4).
property(obj4, shard_of_glass).
location(obj4, floor).
object(obj5).
property(obj5, pen).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object4,shard of glass
"Alex and Bailey are in the restaurant. Alex is tidying. Bailey is next to a notebook on the table, a rug on the floor, a dirty bowl on the floor, a broken plate on the floor, a boot on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,restaurant,"setting(restaurant).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, notebook).
location(obj1, table).
object(obj2).
property(obj2, rug).
location(obj2, floor).
object(obj3).
property(obj3, dirty).
property(obj3, bowl).
location(obj3, floor).
object(obj4).
property(obj4, broken).
property(obj4, plate).
location(obj4, floor).
object(obj5).
property(obj5, boot).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object4,broken plate
"Morgan and Riley are in the dining room. Morgan is tidying. Riley is next to a shoe on the floor, a broom on the table, a dirty bowl on the floor, a wet rag on the floor, a plant on the table. Morgan says to Riley, 'pick it up'.",Morgan and Riley,dining room,"setting(dining_room).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, shoe).
location(obj1, floor).
object(obj2).
property(obj2, broom).
location(obj2, table).
object(obj3).
property(obj3, dirty).
property(obj3, bowl).
location(obj3, floor).
object(obj4).
property(obj4, wet_rag).
location(obj4, floor).
object(obj5).
property(obj5, plant).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object4,wet rag
"Casey and Skyler are in the living room. Casey is tidying. Skyler is next to a dirty rag on the floor, a rug on the floor, a broom on the table, a broken plate on the floor, a notebook on the table. Casey says to Skyler, 'pick it up'.",Casey and Skyler,living room,"setting(living_room).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, dirty).
property(obj1, rag).
location(obj1, floor).
object(obj2).
property(obj2, rug).
location(obj2, floor).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, broken).
property(obj4, plate).
location(obj4, floor).
object(obj5).
property(obj5, notebook).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object4,broken plate
"Jordan and Taylor are in the dining room. Jordan is tidying. Taylor is next to a knife on the floor, a dirty bowl on the floor, a boot on the floor, a plant on the table, a spatula on the table. Jordan says to Taylor, 'pick it up'.",Jordan and Taylor,dining room,"setting(dining_room).
task(tidying).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, knife).
location(obj1, floor).
object(obj2).
property(obj2, dirty).
property(obj2, bowl).
location(obj2, floor).
object(obj3).
property(obj3, boot).
location(obj3, floor).
object(obj4).
property(obj4, plant).
location(obj4, table).
object(obj5).
property(obj5, spatulon).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object1,knife
"Morgan and Riley are in the dining room. Morgan is tidying. Riley is next to a split mug on the floor, a dirty rag on the floor, a shoe on the floor, a boot on the floor, a notebook on the table. Morgan says to Riley, 'pick it up'.",Morgan and Riley,dining room,"setting(dining_room).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, split).
property(obj1, mug).
location(obj1, floor).
object(obj2).
property(obj2, dirty).
property(obj2, rag).
location(obj2, floor).
object(obj3).
property(obj3, shoe).
location(obj3, floor).
object(obj4).
property(obj4, boot).
location(obj4, floor).
object(obj5).
property(obj5, notebook).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object1,broken mug
"Morgan and Riley are in the restaurant. Morgan is tidying. Riley is next to a book on the table, a broom on the table, a dirty fork on the floor, a split mug on the floor, a rug on the floor. Morgan says to Riley, 'pick it up'.",Morgan and Riley,restaurant,"setting(restaurant).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, book).
location(obj1, table).
object(obj2).
property(obj2, broom).
location(obj2, table).
object(obj3).
property(obj3, dirty).
property(obj3, fork).
location(obj3, floor).
object(obj4).
property(obj4, split).
property(obj4, mug).
location(obj4, floor).
object(obj5).
property(obj5, rug).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object4,broken mug
"Cameron and Charlie are in the dining room. Cameron is tidying. Charlie is next to a dirty plate on the floor, a book on the table, a broom on the table, a boot on the floor, a knife on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,dining room,"setting(dining_room).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
location(obj1, floor).
object(obj2).
property(obj2, book).
location(obj2, table).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, boot).
location(obj4, floor).
object(obj5).
property(obj5, knife).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,knife
"Morgan and Riley are in the kitchen. Morgan is tidying. Riley is next to a plant on the table, a lamp on the table, a broom on the table, a laptop on the floor, a dirty cup on the floor. Morgan says to Riley, 'pick it up'.",Morgan and Riley,kitchen,"setting(kitchen).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, plant).
location(obj1, table).
object(obj2).
property(obj2, lamp).
location(obj2, table).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, laptop).
location(obj4, floor).
object(obj5).
property(obj5, dirty).
property(obj5, cup).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object4,laptop
